hseb_code,school_code
5915,590060001
5832,580110008
5532,550250008
5429,540190004
5411,540040318
5329,530010004
5129,510180007
5128,510060003
4906,490140036
4618,460240004
4567,450180002
4557,450310021
4444,440480017
3435,340200073
3342,330140001
3023,300100006
2821,280060005
2757,270360012
2469,240630002
2407,240400009
2238,220040004
1979,190640050
1845,180600003
1558,150560003
1506,150240008
1013,100050003
652,60180054
330,30060018
8301,50480009
7684,270310577
7662,270310732
7421,740210005
6610,660040003
5426,540060013
5403,540400003
4839,480130348
4770,470530004
4437,440480013
4074,400320042
3736,370070008
2055,200420012
553,50240008
8245,400220038
8117,250400008
8103,250420002
7309,730070003
7123,710070009
6417,640150009
6314,630270008
6011,600120005
5770,570250036
5731,570390014
3345,330680005
2515,250270007
2133,210180007
1334,130240013
463,40090001
114,10020006
6709,670080004
6026,600330007
5719,570020008
5105,510360011
2311,230620005
1736,170390004
1434,140380002
698,60040006
226,20280001
8340,50200020
8125,250230004
7828,270310524
7172,710090017
6837,680290001
5924,590020023
5703,570320022
5325,530080003
5207,520010003
4630,460260005
4611,460410004
4417,440180009
4093,400100006
4069,400010008
3920,390120005
3141,310060004
2825,280050005
2498,240380006
2489,240650002
2328,230060015
2239,220160006
2212,220210007
2122,210100006
1707,170480045
1527,150010003
1224,120340006
1219,120040002
691,60010006
685,60260028
573,50430014
466,40010012
329,30160004
126,10160005
119,10320009
8110,250300001
7835,270280025
7738,270310907
7203,720070005
6309,630070007
5918,590070035
5427,540280001
4077,400050014
2031,200130007
1637,160630012
1557,150970044
1555,150820001
1017,100360005
570,50020001
7920,270310360
7888,270370019
7866,270280009
7847,270310541
7683,270300053
7189,710140016
5705,570010003
5668,560160002
5414,540060412
5046,500340014
4840,480120665
4604,460070007
3058,300350020
3057,300020018
2629,260120065
2512,250270183
2471,240310006
1726,170480144
1409,140060011
1332,130210005
1208,120430006
1123,110110009
632,60260009
413,40070001
334,30340006
109,10320022
8310,50450011
1543,150290005
8339,50350021
7844,270310370
7791,270210023
7227,720040001
6801,680050005
6435,640190004
6322,630010002
6126,610070009
5979,590480016
5763,570430016
5509,550030006
5314,530120005
5123,510370003
4879,480060018
4647,460030004
3919,390240003
3886,380080359
3880,380170017
2601,260120053
2568,250060002
2314,230030004
1931,190400011
1751,170270005
1427,140300011
1325,130050006
1221,120190002
1215,120090003
1211,120080004
1026,100060006
916,90040003
415,40200009
335,30140009
227,20310001
7982,270280040
7857,270330018
7849,270310489
6821,680080001
714,70150027
414,40100021
7893,270310838
7736,270310313
6501,650020009
5318,530390002
5020,500060013
4570,450060006
2905,290010010
2779,270310835
2749,270310133
2599,250270118
1321,130240012
8251,400320106
7935,270310581
7225,720100010
4941,490140022
2502,250270063
8254,400320190
7663,270150002
7644,270310194
